	ARAF001	ARAF002	ARAF003	ARAF004	ARAF005	ARAF006	     C1	    C10	   C100	   C103	   C104	   C105	   C106	   C107	   C108	   C109	    C11	   C110	   C111	   C112	   C113	   C114	   C115	   C117	   C118	   C119	    C12	   C120	   C121	   C122	   C123	   C124	   C125	   C126	   C127	   C128	   C129	    C13	   C130	   C131	   C132	   C133	   C134	   C135	   C136	   C137	   C138	   C139	    C14	   C140	   C141	   C142	   C143	   C144	   C145	   C146	   C147	   C148	   C149	    C15	   C150	   C151	   C152	   C153	   C154	   C155	   C156	   C157	   C158	   C159	    C16	   C160	   C161	   C162	   C163	   C164	   C165	   C166	   C167	   C168	   C169	    C17	   C170	   C171	   C172	   C173	   C174	   C175	   C176	   C177	   C178	   C179	    C18	   C180	   C181	   C182	   C183	   C184	   C185	   C186	   C187	   C188	   C189	    C19	   C190	   C191	   C199	     C2	    C20	    C21	    C22	   C220	   C221	   C222	   C223	    C23	    C24	   C246	    C25	    C26	    C27	   C272	   C275	    C28	    C29	     C3	    C30	    C31	    C32	    C33	    C34	   C341	   C342	   C343	   C344	   C345	   C346	    C35	   C354	   C355	   C356	   C357	   C358	   C359	    C36	   C360	   C361	   C362	   C363	   C364	   C365	   C366	   C367	   C368	   C369	    C37	    C38	    C39	     C4	    C40	    C41	    C42	    C43	    C44	    C45	    C46	    C47	    C48	    C49	     C5	    C50	    C51	    C52	    C53	    C54	    C55	    C56	    C57	    C58	    C59	     C6	    C60	    C61	    C62	    C63	    C64	    C65	    C66	    C67	    C68	    C69	     C7	    C70	    C71	    C72	    C73	    C74	    C75	    C76	    C77	    C78	    C79	     C8	    C80	    C81	    C82	    C83	    C84	    C85	    C86	    C87	    C88	    C89	    C91	    C92	    C93	    C95	    C96
ARAF001	 100.00	  99.52	  99.45	  99.60	  99.43	  99.58	  99.46	  99.54	  99.45	  99.46	  99.55	  99.55	  99.55	  99.55	  99.47	  99.41	  99.60	  99.49	  99.51	  99.47	  99.38	  99.52	  99.51	  99.38	  99.43	  99.48	  99.53	  99.41	  99.53	  99.58	  99.47	  99.42	  99.43	  99.45	  99.43	  99.37	  99.39	  99.60	  99.43	  99.43	  99.40	  99.46	  99.47	  99.41	  99.40	  99.39	  99.40	  99.41	  99.56	  99.44	  99.43	  99.56	  99.45	  99.65	  99.45	  99.47	  99.41	  99.45	  99.59	  99.54	  99.58	  99.56	  99.42	  99.44	  99.43	  99.60	  99.60	  99.61	  99.60	  99.61	  99.45	  99.64	  99.51	  99.53	  99.54	  99.40	  99.40	  99.43	  99.36	  99.43	  99.41	  99.49	  99.37	  99.57	  99.41	  99.38	  99.43	  99.39	  99.35	  99.60	  99.43	  99.41	  99.47	  99.36	  99.37	  99.40	  99.44	  99.39	  99.31	  99.50	  99.42	  99.51	  99.44	  99.56	  99.39	  99.43	  99.53	  99.56	  99.49	  99.48	  99.47	  99.56	  99.54	  99.41	  99.57	  99.49	  99.47	  99.59	  99.62	  99.55	  99.58	  99.37	  99.40	  99.54	  99.58	  99.46	  99.54	  99.42	  99.46	  99.46	  99.41	  99.56	  99.53	  99.42	  99.42	  99.41	  99.42	  99.56	  99.53	  99.56	  99.59	  99.56	  99.61	  99.60	  99.58	  99.60	  99.31	  99.58	  99.43	  99.57	  99.57	  99.61	  99.41	  99.50	  99.58	  99.40	  99.53	  99.45	  99.47	  99.43	  99.39	  99.39	  99.45	  99.44	  99.42	  99.44	  99.39	  99.41	  99.42	  99.47	  99.43	  99.43	  99.43	  99.44	  99.45	  99.42	  99.34	  99.43	  99.54	  99.54	  99.55	  99.53	  99.57	  99.54	  99.47	  99.57	  99.60	  99.60	  99.43	  99.47	  99.48	  99.54	  99.47	  99.39	  99.38	  99.40	  99.43	  99.57	  99.38	  99.41	  99.52	  99.54	  99.42	  99.58	  99.41	  99.58	  99.47	  99.49	  99.62	  99.59	  99.48	  99.52	  99.57	  99.50	  99.53	  99.55	  99.43	  99.42
ARAF002	  99.52	 100.00	  99.44	  99.52	  99.44	  99.53	  99.39	  99.50	  99.45	  99.44	  99.52	  99.47	  99.46	  99.49	  99.41	  99.39	  99.45	  99.42	  99.57	  99.42	  99.40	  99.51	  99.43	  99.43	  99.37	  99.42	  99.48	  99.37	  99.46	  99.49	  99.40	  99.40	  99.41	  99.38	  99.40	  99.41	  99.37	  99.46	  99.40	  99.43	  99.44	  99.41	  99.37	  99.40	  99.39	  99.40	  99.38	  99.39	  99.43	  99.39	  99.38	  99.45	  99.45	  99.50	  99.38	  99.43	  99.40	  99.39	  99.68	  99.52	  99.69	  99.74	  99.39	  99.41	  99.48	  99.48	  99.50	  99.43	  99.49	  99.53	  99.43	  99.53	  99.46	  99.45	  99.44	  99.37	  99.38	  99.43	  99.41	  99.39	  99.42	  99.43	  99.44	  99.72	  99.38	  99.38	  99.39	  99.34	  99.42	  99.48	  99.36	  99.43	  99.42	  99.43	  99.39	  99.39	  99.40	  99.45	  99.37	  99.50	  99.37	  99.46	  99.37	  99.48	  99.37	  99.38	  99.54	  99.43	  99.47	  99.43	  99.44	  99.50	  99.48	  99.39	  99.46	  99.48	  99.43	  99.50	  99.49	  99.46	  99.47	  99.39	  99.40	  99.48	  99.48	  99.43	  99.42	  99.42	  99.45	  99.41	  99.46	  99.62	  99.55	  99.35	  99.41	  99.39	  99.37	  99.47	  99.49	  99.45	  99.47	  99.46	  99.49	  99.49	  99.44	  99.49	  99.38	  99.48	  99.41	  99.51	  99.45	  99.48	  99.40	  99.46	  99.48	  99.38	  99.47	  99.38	  99.38	  99.38	  99.38	  99.38	  99.40	  99.40	  99.42	  99.44	  99.37	  99.42	  99.45	  99.42	  99.35	  99.43	  99.42	  99.36	  99.38	  99.38	  99.40	  99.37	  99.43	  99.42	  99.51	  99.48	  99.42	  99.44	  99.51	  99.46	  99.42	  99.40	  99.36	  99.41	  99.40	  99.48	  99.44	  99.40	  99.33	  99.38	  99.40	  99.48	  99.41	  99.43	  99.51	  99.48	  99.43	  99.47	  99.35	  99.47	  99.43	  99.46	  99.48	  99.51	  99.46	  99.48	  99.48	  99.46	  99.50	  99.41	  99.43	  99.40
ARAF003	  99.45	  99.44	 100.00	  99.43	  99.62	  99.45	  99.51	  99.37	  99.53	  99.46	  99.44	  99.42	  99.49	  99.44	  99.53	  99.53	  99.41	  99.51	  99.51	  99.55	  99.59	  99.48	  99.46	  99.46	  99.50	  99.53	  99.44	  99.54	  99.41	  99.46	  99.52	  99.53	  99.52	  99.51	  99.55	  99.61	  99.54	  99.43	  99.61	  99.64	  99.57	  99.52	  99.54	  99.61	  99.60	  99.64	  99.57	  99.52	  99.43	  99.54	  99.58	  99.41	  99.55	  99.39	  99.58	  99.74	  99.74	  99.74	  99.47	  99.44	  99.49	  99.47	  99.76	  99.76	  99.71	  99.41	  99.45	  99.42	  99.42	  99.42	  99.53	  99.45	  99.47	  99.43	  99.45	  99.56	  99.51	  99.54	  99.52	  99.51	  99.58	  99.52	  99.55	  99.47	  99.48	  99.59	  99.64	  99.56	  99.48	  99.44	  99.60	  99.55	  99.52	  99.49	  99.52	  99.59	  99.58	  99.58	  99.51	  99.33	  99.53	  99.44	  99.52	  99.40	  99.59	  99.53	  99.38	  99.46	  99.53	  99.51	  99.54	  99.41	  99.42	  99.52	  99.38	  99.53	  99.49	  99.43	  99.40	  99.43	  99.39	  99.61	  99.55	  99.41	  99.47	  99.54	  99.37	  99.53	  99.53	  99.53	  99.44	  99.44	  99.37	  99.55	  99.54	  99.53	  99.55	  99.44	  99.46	  99.44	  99.39	  99.46	  99.40	  99.42	  99.41	  99.36	  99.53	  99.40	  99.61	  99.43	  99.42	  99.43	  99.54	  99.51	  99.43	  99.52	  99.41	  99.58	  99.56	  99.51	  99.54	  99.59	  99.59	  99.56	  99.57	  99.57	  99.60	  99.57	  99.50	  99.56	  99.59	  99.63	  99.64	  99.45	  99.50	  99.47	  99.49	  99.56	  99.50	  99.48	  99.38	  99.52	  99.48	  99.50	  99.47	  99.43	  99.40	  99.42	  99.58	  99.53	  99.51	  99.41	  99.52	  99.50	  99.53	  99.52	  99.55	  99.41	  99.55	  99.53	  99.48	  99.42	  99.48	  99.42	  99.57	  99.38	  99.57	  99.55	  99.42	  99.43	  99.55	  99.41	  99.46	  99.51	  99.45	  99.42	  99.57	  99.57
ARAF004	  99.60	  99.52	  99.43	 100.00	  99.44	  99.63	  99.44	  99.57	  99.48	  99.48	  99.58	  99.65	  99.53	  99.56	  99.46	  99.41	  99.61	  99.46	  99.48	  99.45	  99.36	  99.53	  99.48	  99.37	  99.42	  99.45	  99.56	  99.36	  99.55	  99.54	  99.43	  99.42	  99.45	  99.39	  99.45	  99.39	  99.36	  99.62	  99.43	  99.42	  99.36	  99.45	  99.40	  99.38	  99.39	  99.38	  99.38	  99.45	  99.63	  99.40	  99.36	  99.60	  99.44	  99.62	  99.40	  99.43	  99.39	  99.38	  99.52	  99.59	  99.57	  99.53	  99.42	  99.43	  99.39	  99.61	  99.63	  99.62	  99.62	  99.60	  99.46	  99.60	  99.48	  99.54	  99.54	  99.38	  99.41	  99.40	  99.33	  99.41	  99.40	  99.44	  99.37	  99.51	  99.41	  99.41	  99.49	  99.34	  99.36	  99.73	  99.40	  99.41	  99.49	  99.38	  99.33	  99.41	  99.37	  99.37	  99.31	  99.55	  99.38	  99.49	  99.41	  99.58	  99.34	  99.42	  99.58	  99.58	  99.49	  99.46	  99.49	  99.67	  99.63	  99.39	  99.63	  99.48	  99.47	  99.62	  99.68	  99.58	  99.62	  99.37	  99.45	  99.61	  99.64	  99.44	  99.57	  99.42	  99.46	  99.46	  99.38	  99.51	  99.60	  99.40	  99.43	  99.37	  99.42	  99.65	  99.52	  99.54	  99.63	  99.57	  99.61	  99.60	  99.64	  99.61	  99.33	  99.62	  99.44	  99.65	  99.62	  99.66	  99.42	  99.43	  99.64	  99.40	  99.68	  99.40	  99.42	  99.41	  99.38	  99.36	  99.37	  99.42	  99.37	  99.43	  99.36	  99.38	  99.40	  99.45	  99.41	  99.44	  99.38	  99.42	  99.43	  99.46	  99.35	  99.38	  99.55	  99.52	  99.59	  99.51	  99.54	  99.55	  99.48	  99.60	  99.59	  99.61	  99.39	  99.46	  99.48	  99.65	  99.46	  99.40	  99.41	  99.41	  99.43	  99.57	  99.37	  99.39	  99.55	  99.62	  99.41	  99.64	  99.37	  99.64	  99.45	  99.49	  99.66	  99.65	  99.46	  99.60	  99.60	  99.52	  99.58	  99.58	  99.47	  99.40
ARAF005	  99.43	  99.44	  99.62	  99.44	 100.00	  99.46	  99.53	  99.40	  99.53	  99.42	  99.43	  99.41	  99.49	  99.43	  99.52	  99.51	  99.38	  99.50	  99.50	  99.51	  99.60	  99.44	  99.47	  99.45	  99.53	  99.53	  99.44	  99.55	  99.43	  99.44	  99.49	  99.50	  99.49	  99.49	  99.57	  99.60	  99.47	  99.39	  99.56	  99.57	  99.52	  99.48	  99.54	  99.57	  99.61	  99.58	  99.55	  99.50	  99.44	  99.53	  99.52	  99.40	  99.51	  99.39	  99.61	  99.60	  99.59	  99.59	  99.42	  99.42	  99.43	  99.42	  99.56	  99.56	  99.58	  99.40	  99.42	  99.44	  99.43	  99.45	  99.50	  99.42	  99.46	  99.42	  99.42	  99.51	  99.51	  99.49	  99.51	  99.53	  99.55	  99.50	  99.54	  99.43	  99.52	  99.58	  99.61	  99.59	  99.48	  99.45	  99.59	  99.49	  99.51	  99.52	  99.48	  99.58	  99.60	  99.55	  99.50	  99.31	  99.49	  99.40	  99.50	  99.39	  99.54	  99.54	  99.37	  99.45	  99.55	  99.50	  99.52	  99.46	  99.37	  99.50	  99.39	  99.52	  99.51	  99.37	  99.42	  99.46	  99.42	  99.54	  99.57	  99.40	  99.47	  99.51	  99.37	  99.50	  99.51	  99.51	  99.40	  99.46	  99.41	  99.51	  99.55	  99.51	  99.50	  99.43	  99.44	  99.39	  99.44	  99.46	  99.45	  99.39	  99.41	  99.43	  99.50	  99.40	  99.64	  99.41	  99.49	  99.45	  99.48	  99.51	  99.40	  99.51	  99.46	  99.55	  99.52	  99.48	  99.47	  99.50	  99.53	  99.54	  99.51	  99.55	  99.54	  99.57	  99.53	  99.52	  99.56	  99.62	  99.62	  99.46	  99.52	  99.48	  99.53	  99.51	  99.46	  99.48	  99.42	  99.45	  99.50	  99.48	  99.42	  99.41	  99.39	  99.42	  99.55	  99.50	  99.51	  99.40	  99.50	  99.50	  99.55	  99.53	  99.54	  99.43	  99.56	  99.50	  99.47	  99.42	  99.47	  99.45	  99.56	  99.41	  99.51	  99.54	  99.43	  99.44	  99.58	  99.40	  99.45	  99.60	  99.45	  99.40	  99.57	  99.55
ARAF006	  99.58	  99.53	  99.45	  99.63	  99.46	 100.00	  99.42	  99.54	  99.43	  99.45	  99.54	  99.67	  99.57	  99.54	  99.44	  99.37	  99.60	  99.45	  99.44	  99.44	  99.37	  99.52	  99.45	  99.36	  99.37	  99.43	  99.48	  99.35	  99.52	  99.53	  99.41	  99.40	  99.42	  99.39	  99.37	  99.36	  99.37	  99.65	  99.44	  99.46	  99.39	  99.43	  99.39	  99.41	  99.35	  99.35	  99.38	  99.36	  99.55	  99.41	  99.42	  99.60	  99.43	  99.57	  99.40	  99.40	  99.39	  99.38	  99.53	  99.54	  99.52	  99.54	  99.38	  99.39	  99.39	  99.61	  99.64	  99.59	  99.62	  99.61	  99.44	  99.60	  99.49	  99.50	  99.50	  99.35	  99.41	  99.42	  99.31	  99.40	  99.38	  99.46	  99.36	  99.52	  99.39	  99.40	  99.42	  99.38	  99.34	  99.64	  99.39	  99.38	  99.43	  99.30	  99.33	  99.39	  99.39	  99.36	  99.31	  99.54	  99.36	  99.50	  99.41	  99.62	  99.36	  99.39	  99.56	  99.59	  99.45	  99.48	  99.44	  99.65	  99.62	  99.39	  99.64	  99.47	  99.40	  99.66	  99.65	  99.59	  99.57	  99.40	  99.39	  99.59	  99.59	  99.44	  99.57	  99.40	  99.46	  99.40	  99.39	  99.50	  99.55	  99.41	  99.43	  99.38	  99.36	  99.64	  99.48	  99.49	  99.61	  99.50	  99.58	  99.61	  99.62	  99.57	  99.32	  99.61	  99.42	  99.62	  99.61	  99.65	  99.45	  99.44	  99.62	  99.40	  99.62	  99.37	  99.39	  99.38	  99.37	  99.35	  99.38	  99.38	  99.36	  99.38	  99.36	  99.39	  99.35	  99.45	  99.39	  99.42	  99.40	  99.44	  99.41	  99.44	  99.33	  99.38	  99.49	  99.50	  99.61	  99.53	  99.51	  99.54	  99.45	  99.57	  99.57	  99.57	  99.39	  99.44	  99.44	  99.62	  99.41	  99.38	  99.41	  99.38	  99.41	  99.58	  99.39	  99.35	  99.52	  99.61	  99.37	  99.62	  99.35	  99.62	  99.48	  99.48	  99.62	  99.61	  99.47	  99.58	  99.58	  99.49	  99.56	  99.57	  99.43	  99.37
C1     	  99.46	  99.39	  99.51	  99.44	  99.53	  99.42	 100.00	  99.39	  99.73	  99.63	  99.59	  99.46	  99.40	  99.48	  99.74	  99.64	  99.43	  99.76	  99.46	  99.73	  99.46	  99.53	  99.48	  99.35	  99.43	  99.77	  99.56	  99.45	  99.41	  99.47	  99.73	  99.51	  99.74	  99.48	  99.46	  99.44	  99.44	  99.44	  99.49	  99.46	  99.45	  99.71	  99.65	  99.46	  99.46	  99.49	  99.47	  99.48	  99.47	  99.47	  99.65	  99.39	  99.70	  99.45	  99.52	  99.54	  99.53	  99.56	  99.43	  99.42	  99.47	  99.43	  99.55	  99.52	  99.49	  99.46	  99.47	  99.49	  99.42	  99.43	  99.71	  99.45	  99.50	  99.44	  99.45	  99.44	  99.47	  99.43	  99.42	  99.43	  99.45	  99.73	  99.42	  99.44	  99.46	  99.44	  99.50	  99.52	  99.40	  99.45	  99.55	  99.48	  99.77	  99.40	  99.38	  99.53	  99.51	  99.45	  99.44	  99.38	  99.44	  99.42	  99.45	  99.41	  99.40	  99.44	  99.39	  99.42	  99.75	  99.77	  99.73	  99.43	  99.41	  99.46	  99.41	  99.76	  99.72	  99.40	  99.42	  99.40	  99.45	  99.44	  99.41	  99.42	  99.50	  99.74	  99.41	  99.74	  99.75	  99.71	  99.37	  99.42	  99.40	  99.47	  99.43	  99.46	  99.49	  99.44	  99.55	  99.56	  99.46	  99.57	  99.45	  99.41	  99.41	  99.43	  99.40	  99.43	  99.52	  99.43	  99.41	  99.44	  99.45	  99.70	  99.43	  99.46	  99.44	  99.45	  99.47	  99.41	  99.43	  99.43	  99.46	  99.50	  99.44	  99.49	  99.45	  99.47	  99.47	  99.74	  99.54	  99.48	  99.49	  99.47	  99.46	  99.46	  99.47	  99.45	  99.47	  99.46	  99.42	  99.45	  99.49	  99.49	  99.40	  99.42	  99.41	  99.44	  99.50	  99.75	  99.78	  99.44	  99.77	  99.45	  99.51	  99.44	  99.45	  99.41	  99.46	  99.44	  99.55	  99.45	  99.70	  99.47	  99.45	  99.44	  99.73	  99.77	  99.45	  99.41	  99.47	  99.45	  99.45	  99.46	  99.46	  99.46	  99.50	  99.48
C10    	  99.54	  99.50	  99.37	  99.57	  99.40	  99.54	  99.39	 100.00	  99.43	  99.43	  99.49	  99.61	  99.48	  99.50	  99.38	  99.39	  99.59	  99.40	  99.44	  99.42	  99.38	  99.51	  99.45	  99.43	  99.35	  99.43	  99.50	  99.36	  99.46	  99.49	  99.41	  99.40	  99.37	  99.37	  99.40	  99.36	  99.37	  99.55	  99.37	  99.39	  99.47	  99.43	  99.40	  99.40	  99.36	  99.36	  99.37	  99.37	  99.60	  99.37	  99.37	  99.55	  99.41	  99.54	  99.41	  99.37	  99.35	  99.36	  99.48	  99.64	  99.50	  99.47	  99.42	  99.38	  99.42	  99.59	  99.58	  99.56	  99.57	  99.52	  99.42	  99.56	  99.47	  99.45	  99.48	  99.41	  99.38	  99.37	  99.43	  99.40	  99.39	  99.43	  99.41	  99.48	  99.42	  99.38	  99.43	  99.32	  99.43	  99.60	  99.33	  99.34	  99.40	  99.43	  99.40	  99.34	  99.36	  99.41	  99.39	  99.61	  99.38	  99.48	  99.40	  99.57	  99.33	  99.39	  99.60	  99.57	  99.38	  99.44	  99.41	  99.56	  99.56	  99.40	  99.56	  99.40	  99.43	  99.59	  99.63	  99.52	  99.59	  99.37	  99.39	  99.61	  99.58	  99.43	  99.50	  99.40	  99.40	  99.37	  99.46	  99.49	  99.66	  99.35	  99.43	  99.40	  99.38	  99.58	  99.52	  99.47	  99.59	  99.52	  99.62	  99.54	  99.57	  99.56	  99.42	  99.60	  99.43	  99.61	  99.58	  99.63	  99.40	  99.41	  99.62	  99.37	  99.60	  99.36	  99.44	  99.36	  99.37	  99.37	  99.36	  99.39	  99.42	  99.39	  99.36	  99.38	  99.45	  99.45	  99.34	  99.36	  99.37	  99.46	  99.40	  99.41	  99.41	  99.39	  99.48	  99.46	  99.66	  99.47	  99.49	  99.49	  99.48	  99.58	  99.54	  99.55	  99.35	  99.40	  99.40	  99.61	  99.45	  99.41	  99.39	  99.36	  99.39	  99.55	  99.44	  99.46	  99.49	  99.58	  99.47	  99.57	  99.38	  99.59	  99.42	  99.38	  99.58	  99.63	  99.49	  99.52	  99.56	  99.48	  99.55	  99.54	  99.38	  99.37
C100   	  99.45	  99.45	  99.53	  99.48	  99.53	  99.43	  99.73	  99.43	 100.00	  99.63	  99.55	  99.43	  99.45	  99.52	  99.75	  99.72	  99.45	  99.74	  99.50	  99.77	  99.47	  99.56	  99.49	  99.45	  99.45	  99.74	  99.57	  99.49	  99.46	  99.50	  99.77	  99.53	  99.73	  99.50	  99.49	  99.50	  99.45	  99.43	  99.49	  99.48	  99.45	  99.77	  99.66	  99.49	  99.50	  99.46	  99.50	  99.47	  99.47	  99.52	  99.63	  99.41	  99.79	  99.49	  99.51	  99.50	  99.51	  99.51	  99.48	  99.45	  99.53	  99.48	  99.56	  99.54	  99.51	  99.46	  99.44	  99.43	  99.43	  99.45	  99.74	  99.48	  99.50	  99.42	  99.42	  99.44	  99.45	  99.48	  99.42	  99.43	  99.52	  99.75	  99.44	  99.48	  99.48	  99.50	  99.50	  99.47	  99.41	  99.47	  99.51	  99.47	  99.78	  99.45	  99.41	  99.58	  99.56	  99.47	  99.43	  99.36	  99.49	  99.43	  99.44	  99.46	  99.48	  99.44	  99.45	  99.46	  99.79	  99.76	  99.79	  99.44	  99.45	  99.45	  99.43	  99.75	  99.77	  99.48	  99.46	  99.46	  99.47	  99.46	  99.48	  99.44	  99.44	  99.74	  99.41	  99.78	  99.76	  99.76	  99.40	  99.48	  99.43	  99.48	  99.45	  99.46	  99.49	  99.48	  99.57	  99.55	  99.44	  99.55	  99.46	  99.43	  99.41	  99.46	  99.42	  99.43	  99.56	  99.47	  99.45	  99.42	  99.44	  99.77	  99.44	  99.47	  99.48	  99.45	  99.47	  99.44	  99.47	  99.43	  99.45	  99.47	  99.45	  99.50	  99.46	  99.50	  99.49	  99.78	  99.48	  99.52	  99.53	  99.46	  99.50	  99.48	  99.44	  99.48	  99.48	  99.44	  99.43	  99.44	  99.46	  99.48	  99.45	  99.48	  99.41	  99.43	  99.47	  99.75	  99.76	  99.47	  99.80	  99.48	  99.45	  99.43	  99.44	  99.44	  99.49	  99.46	  99.63	  99.47	  99.71	  99.47	  99.46	  99.41	  99.75	  99.76	  99.47	  99.47	  99.49	  99.45	  99.48	  99.50	  99.47	  99.45	  99.47	  99.46
C103   	  99.46	  99.44	  99.46	  99.48	  99.42	  99.45	  99.63	  99.43	  99.63	 100.00	  99.59	  99.51	  99.44	  99.53	  99.64	  99.56	  99.48	  99.63	  99.46	  99.66	  99.39	  99.59	  99.59	  99.42	  99.44	  99.61	  99.58	  99.41	  99.45	  99.54	  99.63	  99.49	  99.60	  99.48	  99.45	  99.44	  99.46	  99.49	  99.44	  99.43	  99.44	  99.64	  99.54	  99.45	  99.42	  99.43	  99.44	  99.50	  99.50	  99.49	  99.57	  99.45	  99.63	  99.49	  99.43	  99.47	  99.44	  99.45	  99.52	  99.46	  99.49	  99.52	  99.49	  99.48	  99.43	  99.50	  99.47	  99.46	  99.45	  99.47	  99.62	  99.54	  99.58	  99.43	  99.45	  99.41	  99.41	  99.46	  99.38	  99.45	  99.47	  99.66	  99.43	  99.51	  99.47	  99.46	  99.47	  99.42	  99.41	  99.51	  99.46	  99.48	  99.61	  99.39	  99.40	  99.50	  99.46	  99.42	  99.44	  99.44	  99.49	  99.45	  99.48	  99.48	  99.42	  99.44	  99.44	  99.54	  99.61	  99.63	  99.60	  99.48	  99.46	  99.48	  99.45	  99.63	  99.60	  99.51	  99.51	  99.46	  99.49	  99.44	  99.43	  99.47	  99.50	  99.63	  99.42	  99.66	  99.60	  99.61	  99.38	  99.50	  99.45	  99.49	  99.45	  99.46	  99.46	  99.49	  99.57	  99.57	  99.48	  99.55	  99.45	  99.44	  99.47	  99.43	  99.39	  99.48	  99.50	  99.51	  99.45	  99.52	  99.47	  99.62	  99.49	  99.43	  99.49	  99.47	  99.46	  99.40	  99.43	  99.41	  99.42	  99.40	  99.42	  99.43	  99.42	  99.47	  99.42	  99.63	  99.43	  99.49	  99.46	  99.47	  99.49	  99.44	  99.46	  99.49	  99.49	  99.46	  99.44	  99.49	  99.46	  99.51	  99.45	  99.49	  99.45	  99.46	  99.44	  99.60	  99.64	  99.51	  99.65	  99.45	  99.49	  99.45	  99.47	  99.48	  99.48	  99.46	  99.60	  99.47	  99.60	  99.50	  99.45	  99.46	  99.62	  99.61	  99.48	  99.46	  99.49	  99.49	  99.45	  99.47	  99.47	  99.48	  99.44	  99.43
